time,v_chassis,omega_rear,omega_front,slip,f_tire,motor_torque,tire_torque
0.000,0.000,0.000,0.000,0.000,0.000,40.000,-0.000
0.083,-0.248,-3.229,-4.040,-3.560,0.000,40.000,-0.000
0.167,-0.004,0.059,-0.679,0.246,0.000,40.000,-0.000
0.250,-0.171,0.818,-3.483,2.674,0.000,40.000,-0.000
0.333,0.027,-0.128,3.242,-0.721,0.000,40.000,-0.000
0.417,0.004,0.818,-0.084,2.823,0.000,40.000,-0.000
0.500,0.027,-0.128,3.247,-0.719,0.000,40.000,-0.000
0.583,0.027,-0.126,3.220,-0.710,0.000,40.000,-0.000
0.667,0.004,0.822,-0.084,2.836,0.000,40.000,-0.000
0.750,-0.027,-3.222,0.128,-11.002,0.000,40.000,-0.000
0.833,-0.004,0.086,-0.814,0.343,0.000,40.000,-0.000
0.917,-0.027,-3.232,0.128,-11.037,0.000,40.000,-0.000
1.000,-0.027,-3.206,0.126,-10.951,0.000,40.000,-0.000
1.083,-0.004,0.085,-0.819,0.339,0.000,40.000,-0.000
1.167,-0.027,-3.220,0.126,-11.000,0.000,40.000,-0.000
1.250,-0.004,0.084,-0.819,0.335,0.000,40.000,-0.000
1.333,0.027,-0.128,3.227,-0.722,0.000,40.000,-0.000
1.417,0.004,0.816,-0.085,2.815,0.000,40.000,-0.000
1.500,0.248,4.042,3.235,4.702,0.000,40.000,-0.000
1.583,-0.005,0.059,-0.767,0.257,0.000,40.000,-0.000
1.667,0.027,-0.125,3.215,-0.709,0.000,40.000,-0.000
1.750,0.004,0.821,-0.084,2.834,0.000,40.000,-0.000
1.833,-0.027,-3.220,0.128,-10.994,0.000,40.000,-0.000
1.917,-0.004,0.086,-0.815,0.342,0.000,40.000,-0.000
2.000,-0.027,-3.230,0.128,-11.032,0.000,40.000,-0.000
2.083,-0.004,0.085,-0.816,0.338,0.000,40.000,-0.000
2.167,-0.027,-3.238,0.128,-11.060,0.000,40.000,-0.000
2.250,-0.027,-3.212,0.126,-10.971,0.000,40.000,-0.000
2.333,-0.004,0.084,-0.820,0.335,0.000,40.000,-0.000
2.417,0.027,-0.128,3.218,-0.720,0.000,40.000,-0.000
2.500,0.004,0.815,-0.085,2.812,0.000,40.000,-0.000
2.583,0.027,-0.128,3.229,-0.719,0.000,40.000,-0.000
2.667,0.004,0.817,-0.085,2.818,0.000,40.000,-0.000
2.750,0.027,-0.127,3.237,-0.717,0.000,40.000,-0.000
2.833,0.004,0.818,-0.084,2.823,0.000,40.000,-0.000
2.917,-0.249,-3.243,-4.058,-3.554,0.000,40.000,-0.000
3.000,0.004,0.757,-0.068,2.609,0.000,40.000,-0.000
3.083,0.171,3.489,-0.818,6.131,0.000,40.000,-0.000
3.167,-0.027,-3.251,0.128,-11.104,0.000,40.000,-0.000
3.250,-0.027,-3.223,0.126,-11.009,0.000,40.000,-0.000
3.333,-0.004,0.084,-0.822,0.336,0.000,40.000,-0.000
3.417,0.027,-0.128,3.225,-0.721,0.000,40.000,-0.000
3.500,0.027,-0.126,3.201,-0.712,0.000,40.000,-0.000
3.583,0.004,0.818,-0.085,2.821,0.000,40.000,-0.000
3.667,0.027,-0.126,3.216,-0.713,0.000,40.000,-0.000
3.750,0.004,0.819,-0.084,2.825,0.000,40.000,-0.000
3.833,0.027,-0.126,3.227,-0.712,0.000,40.000,-0.000
3.917,0.004,0.819,-0.084,2.829,0.000,40.000,-0.000
4.000,-0.028,-3.232,0.129,-11.037,0.000,40.000,-0.000
4.083,-0.004,0.086,-0.816,0.344,0.000,40.000,-0.000
4.167,-0.028,-3.240,0.129,-11.063,0.000,40.000,-0.000
4.250,-0.004,0.085,-0.817,0.340,0.000,40.000,-0.000
4.333,0.002,0.627,-0.090,2.179,0.000,40.000,-0.000
4.417,0.169,3.440,-0.821,6.111,0.000,40.000,-0.000
4.500,0.027,-0.128,3.222,-0.719,0.000,40.000,-0.000
4.583,0.004,0.815,-0.085,2.813,0.000,40.000,-0.000
4.667,0.027,-0.128,3.232,-0.718,0.000,40.000,-0.000
4.750,0.027,-0.125,3.207,-0.709,0.000,40.000,-0.000
4.833,0.004,0.820,-0.084,2.829,0.000,40.000,-0.000
4.917,0.027,-0.126,3.221,-0.709,0.000,40.000,-0.000
5.000,0.004,0.820,-0.084,2.832,0.000,40.000,-0.000
5.083,-0.028,-3.226,0.129,-11.014,0.000,40.000,-0.000
5.167,-0.004,0.086,-0.816,0.344,0.000,40.000,-0.000
5.250,-0.027,-3.234,0.128,-11.046,0.000,40.000,-0.000
5.333,-0.004,0.085,-0.817,0.340,0.000,40.000,-0.000
5.417,-0.027,-3.241,0.128,-11.070,0.000,40.000,-0.000
5.500,-0.027,-3.215,0.126,-10.980,0.000,40.000,-0.000
5.583,-0.004,0.084,-0.820,0.337,0.000,40.000,-0.000
5.667,0.247,4.018,3.220,4.693,0.000,40.000,-0.000
5.750,-0.006,0.048,-0.779,0.225,0.000,40.000,-0.000
5.833,-0.172,0.817,-3.490,2.666,0.000,40.000,-0.000
5.917,0.027,-0.127,3.238,-0.715,0.000,40.000,-0.000
6.000,0.027,-0.125,3.212,-0.706,0.000,40.000,-0.000
6.083,0.004,0.821,-0.084,2.835,0.000,40.000,-0.000
6.167,-0.028,-3.218,0.128,-10.987,0.000,40.000,-0.000
6.250,-0.004,0.086,-0.815,0.345,0.000,40.000,-0.000
6.333,-0.027,-3.228,0.128,-11.025,0.000,40.000,-0.000
6.417,-0.004,0.085,-0.816,0.341,0.000,40.000,-0.000
6.500,-0.027,-3.237,0.128,-11.055,0.000,40.000,-0.000
6.583,-0.004,0.085,-0.817,0.337,0.000,40.000,-0.000
6.667,0.028,-0.128,3.243,-0.725,0.000,40.000,-0.000
6.750,0.004,0.818,-0.085,2.822,0.000,40.000,-0.000
6.833,0.027,-0.128,3.248,-0.722,0.000,40.000,-0.000
6.917,0.004,0.819,-0.084,2.826,0.000,40.000,-0.000
7.000,0.027,-0.128,3.251,-0.719,0.000,40.000,-0.000
7.083,0.248,4.063,3.224,4.727,0.000,40.000,-0.000
7.167,0.005,0.710,-0.031,2.430,0.000,40.000,-0.000
7.250,-0.027,-3.200,0.127,-10.927,0.000,40.000,-0.000
7.333,-0.004,0.086,-0.817,0.344,0.000,40.000,-0.000
7.417,-0.027,-3.215,0.127,-10.981,0.000,40.000,-0.000
7.500,-0.004,0.085,-0.818,0.340,0.000,40.000,-0.000
7.583,-0.027,-3.227,0.127,-11.022,0.000,40.000,-0.000
7.667,-0.004,0.084,-0.819,0.336,0.000,40.000,-0.000
7.750,0.027,-0.128,3.233,-0.723,0.000,40.000,-0.000
7.833,0.004,0.817,-0.085,2.817,0.000,40.000,-0.000
7.917,0.027,-0.128,3.240,-0.721,0.000,40.000,-0.000
8.000,0.004,0.818,-0.084,2.822,0.000,40.000,-0.000
8.083,0.027,-0.128,3.246,-0.718,0.000,40.000,-0.000
8.167,0.027,-0.126,3.219,-0.709,0.000,40.000,-0.000
8.250,0.004,0.821,-0.084,2.835,0.000,40.000,-0.000
8.333,-0.027,-3.221,0.128,-11.001,0.000,40.000,-0.000
8.417,-0.004,0.086,-0.815,0.342,0.000,40.000,-0.000
8.500,0.002,0.642,-0.076,2.222,0.000,40.000,-0.000
8.583,0.169,3.441,-0.819,6.117,0.000,40.000,-0.000
8.667,-0.027,-3.220,0.126,-10.999,0.000,40.000,-0.000
8.750,-0.004,0.084,-0.819,0.335,0.000,40.000,-0.000
8.833,0.027,-0.128,3.226,-0.722,0.000,40.000,-0.000
8.917,0.004,0.816,-0.085,2.815,0.000,40.000,-0.000
9.000,0.027,-0.128,3.235,-0.720,0.000,40.000,-0.000
9.083,0.004,0.817,-0.085,2.820,0.000,40.000,-0.000
9.167,0.027,-0.128,3.242,-0.718,0.000,40.000,-0.000
9.250,0.027,-0.125,3.215,-0.709,0.000,40.000,-0.000
9.333,0.004,0.821,-0.084,2.834,0.000,40.000,-0.000
9.417,-0.027,-3.219,0.128,-10.994,0.000,40.000,-0.000
9.500,-0.004,0.086,-0.815,0.342,0.000,40.000,-0.000
9.583,-0.027,-3.230,0.128,-11.031,0.000,40.000,-0.000
9.667,-0.004,0.085,-0.816,0.338,0.000,40.000,-0.000
9.750,-0.027,-3.238,0.128,-11.060,0.000,40.000,-0.000
9.833,-0.247,-3.212,-4.042,-3.542,0.000,40.000,-0.000
9.917,-0.005,0.042,-0.698,0.195,0.000,40.000,-0.000
